Rk,Teams,Wins,FG,ThreePA,ThreePT,TwoPt,AST,TOV,OppThreePt,OppTwoPt
1,Atlanta Hawks,37,0.465,33.5,0.374,0.523,24.1,13.4,0.349,0.535
2,Boston Celtics,35,0.468,36.1,0.376,0.53,23.5,14.2,0.372,0.524
3,Brooklyn Nets*,43,0.492,36.5,0.389,0.564,26.6,13.7,0.367,0.525
4,Charlotte Hornets,32,0.458,36.8,0.376,0.518,26.9,15,0.363,0.552
5,Chicago Bulls,26,0.477,33.6,0.364,0.546,26.8,15.4,0.355,0.546
6,Cleveland Cavaliers,21,0.453,29.4,0.34,0.512,24.1,15.5,0.384,0.545
7,Dallas Mavericks,37,0.47,38.1,0.361,0.555,22.5,12.1,0.366,0.525
8,Denver Nuggets*,44,0.485,34,0.378,0.552,26.9,13.5,0.363,0.541
9,Detroit Pistons,19,0.45,33.1,0.353,0.511,24.3,14.8,0.366,0.535
10,Golden State Warriors,33,0.466,38.3,0.374,0.536,27.4,15.1,0.364,0.509
11,Houston Rockets,16,0.441,40,0.334,0.53,23,14.8,0.381,0.537
12,Indiana Pacers,30,0.471,34.1,0.363,0.536,26.9,13.7,0.368,0.522
13,Los Angeles Clippers*,44,0.482,34.5,0.417,0.526,24.4,13.1,0.359,0.528
14,Los Angeles Lakers,37,0.473,31.4,0.353,0.543,24.6,15.4,0.351,0.522
15,Memphis Grizzlies,33,0.466,31.1,0.359,0.521,26.9,13.2,0.368,0.528
16,Miami Heat,35,0.463,36.2,0.351,0.549,26.2,14.1,0.366,0.531
17,Milwaukee Bucks,42,0.486,37.1,0.393,0.55,25.5,14,0.377,0.509
18,Minnesota Timberwolves,20,0.446,37.2,0.352,0.511,25.5,14.4,0.393,0.537
19,New Orleans Pelicans,30,0.48,30.5,0.35,0.549,26.2,14.7,0.382,0.534
20,New York Knicks,37,0.457,29.9,0.391,0.492,21.3,13.2,0.337,0.516
21,Oklahoma City Thunder,21,0.441,35.6,0.343,0.508,22.2,16.3,0.36,0.546
22,Orlando Magic,21,0.43,31.8,0.346,0.477,21.9,12.8,0.373,0.54
23,Philadelphia 76ers*,45,0.477,30,0.372,0.533,23.4,14.7,0.363,0.508
24,Phoenix Suns*,47,0.489,34.7,0.373,0.564,26.9,12.7,0.356,0.531
25,Portland Trail Blazers,37,0.451,41.2,0.384,0.506,21.1,11.2,0.373,0.544
26,Sacramento Kings,29,0.482,33,0.362,0.553,25.3,13.4,0.383,0.551
27,San Antonio Spurs,31,0.461,28.7,0.355,0.511,24.6,11.4,0.375,0.522
28,Toronto Raptors,27,0.45,39.6,0.371,0.513,24.4,13.3,0.378,0.522
29,Utah Jazz*,48,0.469,43.2,0.39,0.544,23.8,14.2,0.339,0.502
30,Washington Wizards,30,0.476,29,0.35,0.535,25.4,14.6,0.375,0.527
